ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow
5363,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Central,place-cntsq,44086,25235,12,3674,2103,16281
5370,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Central,place-cntsq,15375,29313,77,200,381,1500
5371,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Davis,place-davis,1246,44182,77,16,574,420
5374,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Harvard,place-harsq,14453,27627,77,188,359,1329
5376,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,13235,13275,77,172,172,1681
5379,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Porter,place-portr,1786,28778,77,23,374,978
5386,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Alewife,place-alfcl,0,1737,77,0,23,0
5392,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Central,place-cntsq,2245,4038,77,29,52,177
5393,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Davis,place-davis,101,7021,77,1,91,23
5396,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Harvard,place-harsq,2460,3508,77,32,46,164
5398,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Kendall/MIT,place-knncl,2251,1801,77,29,23,201
5401,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Porter,place-portr,299,4262,77,4,55,112
5410,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Davis,place-davis,50317,2922,12,4193,244,7488
5415,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Central,place-cntsq,1104,10171,77,14,132,261
5418,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Davis,place-davis,668,2871,77,9,37,101
5421,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Harvard,place-harsq,78755,23259,12,6563,1938,14710
5427,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_08,LATE_EVENING,Alewife,place-alfcl,9202,0,77,120,0,120
5431,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Kendall/MIT,place-knncl,23808,17751,12,1984,1479,16786
5433,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Harvard,place-harsq,912,8812,77,12,114,159
5438,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Porter,place-portr,35588,4412,12,2966,368,10086
5445,1,Fall 2019,Red,Red Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Alewife,place-alfcl,26599,0,8,3325,0,3325
5451,1,Fall 2019,Red,Red Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Central,place-cntsq,31730,17906,8,3966,2238,16458
5452,1,Fall 2019,Red,Red Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Davis,place-davis,32138,1655,8,4017,207,7135
5455,1,Fall 2019,Red,Red Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Harvard,place-harsq,54548,14568,8,6818,1821,14730
5457,1,Fall 2019,Red,Red Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Kendall/MIT,place-knncl,16594,12443,8,2074,1555,16977
5460,1,Fall 2019,Red,Red Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Porter,place-portr,23630,2849,8,2954,356,9733
5468,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Alewife,place-alfcl,0,408993,77,0,5312,0
5472,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kendall/MIT,place-knncl,224,19341,77,3,251,379
